mi.mitnumber,mi.modification,mi.number,valid_date,result_docnum,result_text,mi.mitype,mi.mititle,verification_year,org_title,applicability,vri_id,verification_date,_version_
76239-19,СОКОЛ-М1,MSL2312001244,2026-01-14T00:00:00Z,С-ВАМ/15-01-2024/308393040,Пригодно,СОКОЛ-М1,Станции автоматические метеорологические,2024,"ФГБУ ""УГМС РЕСПУБЛИКИ ТАТАРСТАН""",True,1-308393040,2024-01-15T00:00:00Z,1788238610281005056
76239-19,СОКОЛ-М1,MSL2312001243,2026-01-14T00:00:00Z,С-ВАМ/15-01-2024/308393041,Пригодно,СОКОЛ-М1,Станции автоматические метеорологические,2024,"ФГБУ ""УГМС РЕСПУБЛИКИ ТАТАРСТАН""",True,1-308393041,2024-01-15T00:00:00Z,1788238610285199360
76239-19,СОКОЛ-М1,MSL2310001184,2026-01-14T00:00:00Z,С-ВАМ/15-01-2024/308393037,Пригодно,СОКОЛ-М1,Станции автоматические метеорологические,2024,"ФГБУ ""УГМС РЕСПУБЛИКИ ТАТАРСТАН""",True,1-308393037,2024-01-15T00:00:00Z,1788238610293587968
76239-19,СОКОЛ-М1,MSL2310001223,2026-01-14T00:00:00Z,С-ВАМ/15-01-2024/308393038,Пригодно,СОКОЛ-М1,Станции автоматические метеорологические,2024,"ФГБУ ""УГМС РЕСПУБЛИКИ ТАТАРСТАН""",True,1-308393038,2024-01-15T00:00:00Z,1788238610296733696
76239-19,СОКОЛ-М1,MSL2310001167,2026-01-14T00:00:00Z,С-ВАМ/15-01-2024/308393039,Пригодно,СОКОЛ-М1,Станции автоматические метеорологические,2024,"ФГБУ ""УГМС РЕСПУБЛИКИ ТАТАРСТАН""",True,1-308393039,2024-01-15T00:00:00Z,1788238610325045248
76239-19,СОКОЛ-М1,MSL2312001255,2026-01-14T00:00:00Z,С-ВАМ/15-01-2024/308393044,Пригодно,СОКОЛ-М1,Станции автоматические метеорологические,2024,"ФГБУ ""УГМС РЕСПУБЛИКИ ТАТАРСТАН""",True,1-308393044,2024-01-15T00:00:00Z,1788238610365939712
76239-19,СОКОЛ-М1,MSL2312001253,2026-01-14T00:00:00Z,С-ВАМ/15-01-2024/308393045,Пригодно,СОКОЛ-М1,Станции автоматические метеорологические,2024,"ФГБУ ""УГМС РЕСПУБЛИКИ ТАТАРСТАН""",True,1-308393045,2024-01-15T00:00:00Z,1788238610370134016
76239-19,СОКОЛ-М1,MSL2312001227,2026-01-14T00:00:00Z,С-ВАМ/15-01-2024/308393042,Пригодно,СОКОЛ-М1,Станции автоматические метеорологические,2024,"ФГБУ ""УГМС РЕСПУБЛИКИ ТАТАРСТАН""",True,1-308393042,2024-01-15T00:00:00Z,1788238610373279744
76239-19,СОКОЛ-М1,MSL2312001250,2026-01-14T00:00:00Z,С-ВАМ/15-01-2024/308393043,Пригодно,СОКОЛ-М1,Станции автоматические метеорологические,2024,"ФГБУ ""УГМС РЕСПУБЛИКИ ТАТАРСТАН""",True,1-308393043,2024-01-15T00:00:00Z,1788238610378522624
76239-19,СОКОЛ-М1,MSL2312001254,2026-01-14T00:00:00Z,С-ВАМ/15-01-2024/308386222,Пригодно,СОКОЛ-М1,Станции автоматические метеорологические,2024,"ФГБУ ""УГМС РЕСПУБЛИКИ ТАТАРСТАН""",True,1-308386222,2024-01-15T00:00:00Z,1788237111030185984
76239-19,Нет модификации,MSL2111000690,2026-01-10T00:00:00Z,С-В/11-01-2024/307391448,Пригодно,СОКОЛ-М1,Станции автоматические метеорологические,2024,"ФГУП ""ВНИИМ ИМ. Д.И.МЕНДЕЛЕЕВА""",True,1-307391448,2024-01-11T00:00:00Z,1787894375665106944
76239-19,СОКОЛ-М1,MSL2111000717,2025-12-20T00:00:00Z,С-ВАМ/21-12-2023/303354753,Пригодно,СОКОЛ-М1,Станции автоматические метеорологические,2023,"ФГБУ ""УГМС РЕСПУБЛИКИ ТАТАРСТАН""",True,1-303354753,2023-12-21T00:00:00Z,1785890823253000192
76239-19,СОКОЛ-М1,MSL2204000824,2025-12-20T00:00:00Z,С-ВАМ/21-12-2023/303354752,Пригодно,СОКОЛ-М1,Станции автоматические метеорологические,2023,"ФГБУ ""УГМС РЕСПУБЛИКИ ТАТАРСТАН""",True,1-303354752,2023-12-21T00:00:00Z,1785890823262437376
76239-19,СОКОЛ-М1,MSL2309001130,2025-12-17T00:00:00Z,С-ВАМ/18-12-2023/302484720,Пригодно,СОКОЛ-М1,Станции автоматические метеорологические,2023,"ФГБУ ""УГМС РЕСПУБЛИКИ ТАТАРСТАН""",True,1-302484720,2023-12-18T00:00:00Z,1785607579115716608
76239-19,СОКОЛ-М1,MSL2312001228,2025-12-17T00:00:00Z,С-ВАМ/18-12-2023/302484721,Пригодно,СОКОЛ-М1,Станции автоматические метеорологические,2023,"ФГБУ ""УГМС РЕСПУБЛИКИ ТАТАРСТАН""",True,1-302484721,2023-12-18T00:00:00Z,1785607579120959488
76239-19,СОКОЛ-М1,MSL2311001235,2025-12-17T00:00:00Z,С-ВАМ/18-12-2023/302484715,Пригодно,СОКОЛ-М1,Станции автоматические метеорологические,2023,"ФГБУ ""УГМС РЕСПУБЛИКИ ТАТАРСТАН""",True,1-302484715,2023-12-18T00:00:00Z,1785607579141931008
76239-19,СОКОЛ-М1,MSL2311001229,2025-12-17T00:00:00Z,С-ВАМ/18-12-2023/302484716,Пригодно,СОКОЛ-М1,Станции автоматические метеорологические,2023,"ФГБУ ""УГМС РЕСПУБЛИКИ ТАТАРСТАН""",True,1-302484716,2023-12-18T00:00:00Z,1785607579150319616
76239-19,СОКОЛ-М1,MSL2312001249,2025-12-17T00:00:00Z,С-ВАМ/18-12-2023/302484717,Пригодно,СОКОЛ-М1,Станции автоматические метеорологические,2023,"ФГБУ ""УГМС РЕСПУБЛИКИ ТАТАРСТАН""",True,1-302484717,2023-12-18T00:00:00Z,1785607579158708224
76239-19,СОКОЛ-М1,MSL2311001178,2025-12-17T00:00:00Z,С-ВАМ/18-12-2023/302484718,Пригодно,СОКОЛ-М1,Станции автоматические метеорологические,2023,"ФГБУ ""УГМС РЕСПУБЛИКИ ТАТАРСТАН""",True,1-302484718,2023-12-18T00:00:00Z,1785607579167096832
76239-19,СОКОЛ-М1,MSL2312001231,2025-12-17T00:00:00Z,С-ВАМ/18-12-2023/302484712,Пригодно,СОКОЛ-М1,Станции автоматические метеорологические,2023,"ФГБУ ""УГМС РЕСПУБЛИКИ ТАТАРСТАН""",True,1-302484712,2023-12-18T00:00:00Z,1785607579178631168
76239-19,СОКОЛ-М1,MSL2311001230,2025-12-17T00:00:00Z,С-ВАМ/18-12-2023/302484713,Пригодно,СОКОЛ-М1,Станции автоматические метеорологические,2023,"ФГБУ ""УГМС РЕСПУБЛИКИ ТАТАРСТАН""",True,1-302484713,2023-12-18T00:00:00Z,1785607579188068352
76239-19,СОКОЛ-М1,MSL2311001236,2025-12-17T00:00:00Z,С-ВАМ/18-12-2023/302484714,Пригодно,СОКОЛ-М1,Станции автоматические метеорологические,2023,"ФГБУ ""УГМС РЕСПУБЛИКИ ТАТАРСТАН""",True,1-302484714,2023-12-18T00:00:00Z,1785607579196456960
76239-19,СОКОЛ-М1,MSL2312001248,2025-12-17T00:00:00Z,С-ВАМ/18-12-2023/302484719,Пригодно,СОКОЛ-М1,Станции автоматические метеорологические,2023,"ФГБУ ""УГМС РЕСПУБЛИКИ ТАТАРСТАН""",True,1-302484719,2023-12-18T00:00:00Z,1785607579200651264
76239-19,СОКОЛ-М1,MSL2111000710,2025-12-11T00:00:00Z,С-ВАМ/12-12-2023/301193434,Пригодно,СОКОЛ-М1,Станции автоматические метеорологические,2023,"ФГБУ ""УГМС РЕСПУБЛИКИ ТАТАРСТАН""",True,1-301193434,2023-12-12T00:00:00Z,1785087265345634304
76239-19,СОКОЛ-М1,MSL2109000599,2025-12-04T00:00:00Z,С-ДЮП/05-12-2023/299272506,Пригодно,СОКОЛ-М1,Станции автоматические метеорологические,2023,ООО «ПРОММАШ ТЕСТ МЕТРОЛОГИЯ»,True,1-299272506,2023-12-05T00:00:00Z,1784442639115878400
76239-19,СОКОЛ-М1,MSL2311001168,2025-12-03T00:00:00Z,С-ВАМ/04-12-2023/298782499,Пригодно,СОКОЛ-М1,Станции автоматические метеорологические,2023,"ФГБУ ""УГМС РЕСПУБЛИКИ ТАТАРСТАН""",True,1-298782499,2023-12-04T00:00:00Z,1784339373687308288
76239-19,СОКОЛ-М1,MSL2311001232,2025-12-03T00:00:00Z,С-ВАМ/04-12-2023/298782496,Пригодно,СОКОЛ-М1,Станции автоматические метеорологические,2023,"ФГБУ ""УГМС РЕСПУБЛИКИ ТАТАРСТАН""",True,1-298782496,2023-12-04T00:00:00Z,1784339373716668416
76239-19,СОКОЛ-М1,MSL2311001171,2025-12-03T00:00:00Z,С-ВАМ/04-12-2023/298782495,Пригодно,СОКОЛ-М1,Станции автоматические метеорологические,2023,"ФГБУ ""УГМС РЕСПУБЛИКИ ТАТАРСТАН""",True,1-298782495,2023-12-04T00:00:00Z,1784339373726105600
76239-19,СОКОЛ-М1,MSL2311001234,2025-12-03T00:00:00Z,С-ВАМ/04-12-2023/298782498,Пригодно,СОКОЛ-М1,Станции автоматические метеорологические,2023,"ФГБУ ""УГМС РЕСПУБЛИКИ ТАТАРСТАН""",True,1-298782498,2023-12-04T00:00:00Z,1784339373735542784
76239-19,СОКОЛ-М1,MSL2311001179,2025-12-03T00:00:00Z,С-ВАМ/04-12-2023/298782497,Пригодно,СОКОЛ-М1,Станции автоматические метеорологические,2023,"ФГБУ ""УГМС РЕСПУБЛИКИ ТАТАРСТАН""",True,1-298782497,2023-12-04T00:00:00Z,1784339373744979968
76239-19,СОКОЛ-М1,MSL2311001166,2025-12-03T00:00:00Z,С-ВАМ/04-12-2023/298782504,Пригодно,СОКОЛ-М1,Станции автоматические метеорологические,2023,"ФГБУ ""УГМС РЕСПУБЛИКИ ТАТАРСТАН""",True,1-298782504,2023-12-04T00:00:00Z,1784339387759198208
76239-19,СОКОЛ-М1,MSL2311001169,2025-12-03T00:00:00Z,С-ВАМ/04-12-2023/298782505,Пригодно,СОКОЛ-М1,Станции автоматические метеорологические,2023,"ФГБУ ""УГМС РЕСПУБЛИКИ ТАТАРСТАН""",True,1-298782505,2023-12-04T00:00:00Z,1784339387796946944
76239-19,СОКОЛ-М1,MSL2311001190,2025-12-03T00:00:00Z,С-ВАМ/04-12-2023/298782502,Пригодно,СОКОЛ-М1,Станции автоматические метеорологические,2023,"ФГБУ ""УГМС РЕСПУБЛИКИ ТАТАРСТАН""",True,1-298782502,2023-12-04T00:00:00Z,1784339387827355648
76239-19,СОКОЛ-М1,MSL2311001170,2025-12-03T00:00:00Z,С-ВАМ/04-12-2023/298782501,Пригодно,СОКОЛ-М1,Станции автоматические метеорологические,2023,"ФГБУ ""УГМС РЕСПУБЛИКИ ТАТАРСТАН""",True,1-298782501,2023-12-04T00:00:00Z,1784339387839938560
76239-19,СОКОЛ-М1,MSL2311001233,2025-12-03T00:00:00Z,С-ВАМ/04-12-2023/298782503,Пригодно,СОКОЛ-М1,Станции автоматические метеорологические,2023,"ФГБУ ""УГМС РЕСПУБЛИКИ ТАТАРСТАН""",True,1-299731148,2023-12-04T00:00:00Z,1784543208493023232
76239-19,СОКОЛ-М1,MSL2111000694,2025-11-29T00:00:00Z,С-МА/30-11-2023/298258875,Пригодно,СОКОЛ-М1,Станции автоматические метеорологические,2023,"ФБУ ""РОСТЕСТ-МОСКВА""",True,1-298258875,2023-11-30T00:00:00Z,1784006366927519744
76239-19,СОКОЛ-М1,MSL2111000694,2025-11-28T00:00:00Z,С-МА/29-11-2023/298143325,Пригодно,СОКОЛ-М1,Станции автоматические метеорологические,2023,"ФБУ ""РОСТЕСТ-МОСКВА""",True,1-298171042,2023-11-29T00:00:00Z,1783988837360336896
76239-19,СОКОЛ-М1,MSL2107000574,2025-11-27T00:00:00Z,С-ВАМ/28-11-2023/297400116,Пригодно,СОКОЛ-М1,Станции автоматические метеорологические,2023,"ФГБУ ""УГМС РЕСПУБЛИКИ ТАТАРСТАН""",True,1-297400116,2023-11-28T00:00:00Z,1783804354540601344
76239-19,Нет модификации,MSL2108000584,,И-В/21-11-2023/295947679,Непригодно,СОКОЛ-М1,Станции автоматические метеорологические,2023,"ФГУП ""ВНИИМ ИМ. Д.И.МЕНДЕЛЕЕВА""",False,1-295947679,2023-11-21T00:00:00Z,1783186742349660160
76239-19,Нет модификации,MSL2107000598,,И-В/21-11-2023/295947678,Непригодно,СОКОЛ-М1,Станции автоматические метеорологические,2023,"ФГУП ""ВНИИМ ИМ. Д.И.МЕНДЕЛЕЕВА""",False,1-295947678,2023-11-21T00:00:00Z,1783186742369583104
76239-19,СОКОЛ-М1,MSL2111000694,2025-11-16T00:00:00Z,С-МА/17-11-2023/295491531,Пригодно,СОКОЛ-М1,Станции автоматические метеорологические,2023,"ФБУ ""РОСТЕСТ-МОСКВА""",True,1-295491531,2023-11-17T00:00:00Z,1783082238994284544
76239-19,СОКОЛ-М1,MSL2310001217,2025-11-15T00:00:00Z,С-ВАМ/16-11-2023/294851916,Пригодно,СОКОЛ-М1,Станции автоматические метеорологические,2023,"ФГБУ ""УГМС РЕСПУБЛИКИ ТАТАРСТАН""",True,1-294851916,2023-11-16T00:00:00Z,1782719004684582912
